alloc!
Epoch 1, train_loss=491, val_loss=4363
Epoch 2, train_loss=455.2, val_loss=4106
Epoch 3, train_loss=424.2, val_loss=3879
Epoch 4, train_loss=396.7, val_loss=3682
Epoch 5, train_loss=373.2, val_loss=3510
Epoch 6, train_loss=352.9, val_loss=3361
Epoch 7, train_loss=335, val_loss=3233
Epoch 8, train_loss=319.9, val_loss=3123
Epoch 9, train_loss=306.8, val_loss=3028
Epoch 10, train_loss=295.6, val_loss=2945
Epoch 11, train_loss=286, val_loss=2872
Epoch 12, train_loss=277.5, val_loss=2809
Epoch 13, train_loss=270.1, val_loss=2753
Epoch 14, train_loss=263.8, val_loss=2704
Epoch 15, train_loss=258.1, val_loss=2661
Epoch 16, train_loss=253.2, val_loss=2622
Epoch 17, train_loss=248.6, val_loss=2588
Epoch 18, train_loss=244.9, val_loss=2557
Epoch 19, train_loss=241.4, val_loss=2528
Epoch 20, train_loss=238.2, val_loss=2503
Epoch 21, train_loss=235.6, val_loss=2480
Epoch 22, train_loss=233, val_loss=2459
Epoch 23, train_loss=230.8, val_loss=2441
Epoch 24, train_loss=228.8, val_loss=2423
Epoch 25, train_loss=227, val_loss=2407
Epoch 26, train_loss=225.3, val_loss=2393
Epoch 27, train_loss=223.9, val_loss=2379
Epoch 28, train_loss=222.6, val_loss=2365
Epoch 29, train_loss=221.3, val_loss=2353
Epoch 30, train_loss=220.2, val_loss=2342
Epoch 31, train_loss=219, val_loss=2333
Epoch 32, train_loss=218.1, val_loss=2324
Epoch 33, train_loss=217.2, val_loss=2315
Epoch 34, train_loss=216.6, val_loss=2305
Epoch 35, train_loss=215.7, val_loss=2297
Epoch 36, train_loss=214.9, val_loss=2289
Epoch 37, train_loss=214.3, val_loss=2282
Epoch 38, train_loss=213.6, val_loss=2275
Epoch 39, train_loss=213, val_loss=2268
Epoch 40, train_loss=212.3, val_loss=2261
Epoch 41, train_loss=211.8, val_loss=2254
Epoch 42, train_loss=211.2, val_loss=2246
Epoch 43, train_loss=210.7, val_loss=2239
Epoch 44, train_loss=210.1, val_loss=2231
Epoch 45, train_loss=209.5, val_loss=2223
Epoch 46, train_loss=208.9, val_loss=2215
Epoch 47, train_loss=208.3, val_loss=2208
Epoch 48, train_loss=207.7, val_loss=2200
Epoch 49, train_loss=207.1, val_loss=2192
Epoch 50, train_loss=206.5, val_loss=2184
Epoch 51, train_loss=205.9, val_loss=2176
Epoch 52, train_loss=205.3, val_loss=2167
Epoch 53, train_loss=204.7, val_loss=2158
Epoch 54, train_loss=204, val_loss=2150
Epoch 55, train_loss=203.4, val_loss=2140
Epoch 56, train_loss=202.7, val_loss=2131
Epoch 57, train_loss=202, val_loss=2122
Epoch 58, train_loss=201.4, val_loss=2112
Epoch 59, train_loss=200.6, val_loss=2102
Epoch 60, train_loss=199.9, val_loss=2092
Epoch 61, train_loss=199.1, val_loss=2082
Epoch 62, train_loss=198.3, val_loss=2073
Epoch 63, train_loss=197.6, val_loss=2063
Epoch 64, train_loss=196.8, val_loss=2052
Epoch 65, train_loss=196, val_loss=2042
Epoch 66, train_loss=195.1, val_loss=2032
Epoch 67, train_loss=194.3, val_loss=2021
Epoch 68, train_loss=193.5, val_loss=2010
Epoch 69, train_loss=192.6, val_loss=2000
Epoch 70, train_loss=191.7, val_loss=1991
Epoch 71, train_loss=191.1, val_loss=1980
Epoch 72, train_loss=190.1, val_loss=1972
Epoch 73, train_loss=189.4, val_loss=1962
Epoch 74, train_loss=188.4, val_loss=1953
Epoch 75, train_loss=187.7, val_loss=1944
Epoch 76, train_loss=186.9, val_loss=1935
Epoch 77, train_loss=186.1, val_loss=1927
Epoch 78, train_loss=185.3, val_loss=1920
Epoch 79, train_loss=184.6, val_loss=1913
Epoch 80, train_loss=183.9, val_loss=1905
Epoch 81, train_loss=183.2, val_loss=1898
Epoch 82, train_loss=182.5, val_loss=1891
Epoch 83, train_loss=181.8, val_loss=1884
Epoch 84, train_loss=181.2, val_loss=1878
Epoch 85, train_loss=180.6, val_loss=1872
Epoch 86, train_loss=180, val_loss=1867
Epoch 87, train_loss=179.5, val_loss=1861
Epoch 88, train_loss=178.9, val_loss=1857
