alloc!
Epoch 1, train_loss=643.2, val_loss=4071
Epoch 2, train_loss=588.2, val_loss=3696
Epoch 3, train_loss=538.6, val_loss=3362
Epoch 4, train_loss=493.6, val_loss=3072
Epoch 5, train_loss=455.2, val_loss=2820
Epoch 6, train_loss=419.6, val_loss=2608
Epoch 7, train_loss=389.7, val_loss=2431
Epoch 8, train_loss=365.7, val_loss=2282
Epoch 9, train_loss=343.4, val_loss=2159
Epoch 10, train_loss=325, val_loss=2057
Epoch 11, train_loss=309, val_loss=1973
Epoch 12, train_loss=296.1, val_loss=1902
Epoch 13, train_loss=285.2, val_loss=1842
Epoch 14, train_loss=275.5, val_loss=1792
Epoch 15, train_loss=267.4, val_loss=1749
Epoch 16, train_loss=260.7, val_loss=1712
Epoch 17, train_loss=254.3, val_loss=1680
Epoch 18, train_loss=248.9, val_loss=1651
Epoch 19, train_loss=244.4, val_loss=1625
Epoch 20, train_loss=239.6, val_loss=1601
Epoch 21, train_loss=235.9, val_loss=1578
Epoch 22, train_loss=232.2, val_loss=1556
Epoch 23, train_loss=228.4, val_loss=1535
Epoch 24, train_loss=225.1, val_loss=1514
Epoch 25, train_loss=221.9, val_loss=1493
Epoch 26, train_loss=218.6, val_loss=1473
Epoch 27, train_loss=215.5, val_loss=1453
Epoch 28, train_loss=212.5, val_loss=1433
Epoch 29, train_loss=209.5, val_loss=1413
Epoch 30, train_loss=206.6, val_loss=1393
Epoch 31, train_loss=203.5, val_loss=1374
Epoch 32, train_loss=201.2, val_loss=1355
Epoch 33, train_loss=198, val_loss=1336
Epoch 34, train_loss=195.2, val_loss=1317
Epoch 35, train_loss=192.6, val_loss=1298
Epoch 36, train_loss=189.9, val_loss=1280
Epoch 37, train_loss=187.4, val_loss=1263
Epoch 38, train_loss=184.6, val_loss=1245
Epoch 39, train_loss=182, val_loss=1228
Epoch 40, train_loss=179.7, val_loss=1210
Epoch 41, train_loss=177, val_loss=1192
Epoch 42, train_loss=174.6, val_loss=1175
Epoch 43, train_loss=172.2, val_loss=1158
Epoch 44, train_loss=169.5, val_loss=1140
Epoch 45, train_loss=167.1, val_loss=1122
Epoch 46, train_loss=164.5, val_loss=1104
Epoch 47, train_loss=162.2, val_loss=1087
Epoch 48, train_loss=159.5, val_loss=1069
Epoch 49, train_loss=157, val_loss=1051
Epoch 50, train_loss=154.7, val_loss=1034
Epoch 51, train_loss=152.3, val_loss=1017
Epoch 52, train_loss=150, val_loss=1000
Epoch 53, train_loss=147.5, val_loss=983.6
Epoch 54, train_loss=145.3, val_loss=967
Epoch 55, train_loss=142.8, val_loss=951
Epoch 56, train_loss=140.5, val_loss=935.6
Epoch 57, train_loss=138.3, val_loss=920
Epoch 58, train_loss=136.1, val_loss=904.9
Epoch 59, train_loss=134.2, val_loss=890.3
Epoch 60, train_loss=131.9, val_loss=877.1
Epoch 61, train_loss=130, val_loss=865.4
Epoch 62, train_loss=128.2, val_loss=854.2
Epoch 63, train_loss=126.5, val_loss=845
Epoch 64, train_loss=124.7, val_loss=834.5
Epoch 65, train_loss=123.1, val_loss=825.3
Epoch 66, train_loss=121.4, val_loss=816.6
Epoch 67, train_loss=120.3, val_loss=808.5
Epoch 68, train_loss=118.8, val_loss=800.4
Epoch 69, train_loss=117.6, val_loss=793.1
Epoch 70, train_loss=116.4, val_loss=786.1
Epoch 71, train_loss=115.4, val_loss=780.3
Epoch 72, train_loss=114.3, val_loss=774.9
